"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"149",2020-03-29,23,40,44,56,75,79,85,55,13,23,68,3,69,30,72,76,68
"150",2020-04-05,20,39,46,60,72,99,84,58,13,26,69,5,76,30,77,78,67
"151",2020-04-12,32,44,44,59,81,100,84,54,13,27,69,5,74,26,75,76,75
"152",2020-04-19,59,46,45,61,80,97,89,57,14,25,67,5,80,30,72,79,74
"153",2020-04-26,39,44,44,62,81,72,88,61,14,31,67,5,82,33,72,77,66
"154",2020-05-03,39,41,44,63,85,71,86,60,14,26,68,4,81,35,64,76,67
"155",2020-05-10,53,43,46,57,78,64,80,62,14,26,66,4,78,33,67,74,65
"156",2020-05-17,56,46,51,55,75,58,75,67,16,25,72,4,81,34,67,72,63
"157",2020-05-24,52,46,76,54,69,78,69,74,15,27,69,4,84,37,82,74,71
"158",2020-05-31,56,46,38,51,61,46,64,66,14,42,66,2,77,30,67,66,57
"159",2020-06-07,68,52,42,58,66,59,69,81,14,27,77,3,82,31,75,71,64
"160",2020-06-14,38,55,44,55,74,59,64,80,15,31,71,2,83,32,83,73,68
"161",2020-06-21,75,52,44,56,70,60,65,75,16,31,71,3,81,32,77,75,65
"162",2020-06-28,26,52,42,55,79,51,68,83,16,28,70,3,88,32,83,72,66
"163",2020-07-05,58,58,43,51,73,40,70,72,27,24,73,2,84,32,86,72,73
"164",2020-07-12,47,62,44,48,75,48,67,75,20,25,74,2,84,32,73,71,71
"165",2020-07-19,55,59,45,50,75,56,63,87,72,25,72,2,82,31,80,70,64
"166",2020-07-26,52,63,44,52,70,44,65,81,100,26,76,2,86,31,72,75,68
"167",2020-08-02,48,64,42,56,70,69,59,82,36,25,71,2,87,33,74,72,69
"168",2020-08-09,76,65,42,51,69,71,61,75,26,23,74,2,87,31,74,67,72
"169",2020-08-16,51,65,42,51,68,64,62,76,20,24,70,2,91,31,73,71,73
"170",2020-08-23,66,59,42,47,73,60,72,72,18,25,72,2,100,28,74,71,67
"171",2020-08-30,58,59,43,47,72,40,80,70,15,22,67,2,83,29,77,72,64
